         110453 function calls (110447 primitive calls) in 40.143 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000   40.126    3.648 c:\miniconda\Lib\asyncio\base_events.py:1922(_run_once)
    99999   40.044    0.000   40.044    0.000 c:\Users\HP\OneDrive\Proyecto-optimizacion-primos\proyecto-optimizacion-primos\codigo_original.py:3(es_primo)
       11    0.000    0.000   39.999    3.636 c:\miniconda\Lib\selectors.py:319(select)
       10    0.040    0.004   38.018    3.802 c:\miniconda\Lib\selectors.py:313(_select)
        1    0.001    0.001    1.980    1.980 c:\Users\HP\OneDrive\Proyecto-optimizacion-primos\proyecto-optimizacion-primos\codigo_original.py:12(encontrar_primos)
       11    0.000    0.000    0.127    0.012 c:\miniconda\Lib\asyncio\events.py:86(_run)
       11    0.000    0.000    0.127    0.012 {method 'run' of '_contextvars.Context' objects}
        2    0.000    0.000    0.111    0.055 c:\miniconda\Lib\site-packages\tornado\platform\asyncio.py:200(_handle_events)
        2    0.000    0.000    0.111    0.055 c:\miniconda\Lib\site-packages\zmq\eventloop\zmqstream.py:583(_handle_events)
        2    0.000    0.000    0.110    0.055 c:\miniconda\Lib\site-packages\zmq\eventloop\zmqstream.py:624(_handle_recv)
        2    0.000    0.000    0.110    0.055 c:\miniconda\Lib\site-packages\zmq\eventloop\zmqstream.py:556(_run_callback)
        2    0.000    0.000    0.110    0.055 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:157(_handle_event)
        1    0.000    0.000    0.110    0.110 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:276(<lambda>)
        1    0.000    0.000    0.110    0.110 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:278(_really_send)
        1    0.001    0.001    0.110    0.110 c:\miniconda\Lib\site-packages\zmq\sugar\socket.py:703(send_multipart)
       10    0.042    0.004    0.042    0.004 {built-in method select.select}
        1    0.000    0.000    0.016    0.016 c:\miniconda\Lib\site-packages\tornado\ioloop.py:742(_run_callback)
        1    0.000    0.000    0.016    0.016 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:616(_flush)
        1    0.000    0.000    0.016    0.016 c:\miniconda\Lib\site-packages\jupyter_client\session.py:754(send)
        1    0.000    0.000    0.015    0.015 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:271(send_multipart)
        1    0.000    0.000    0.015    0.015 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:259(schedule)
     9597    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
        8    0.004    0.001    0.004    0.001 c:\miniconda\Lib\site-packages\zmq\sugar\socket.py:626(send)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:118(_run_event_pipe_gc)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\zmq\sugar\attrsettr.py:43(__getattr__)
        1    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\jupyter_client\session.py:690(serialize)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\zmq\sugar\attrsettr.py:66(_get_attr_opt)
        8    0.000    0.000    0.000    0.000 c:\miniconda\Lib\asyncio\tasks.py:653(sleep)
        8    0.000    0.000    0.000    0.000 c:\miniconda\Lib\enum.py:1545(__or__)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\jupyter_client\session.py:92(json_packer)
        2    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\zmq\eventloop\zmqstream.py:663(_rebuild_io_state)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\json\__init__.py:183(dumps)
  105/101    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:127(_event_pipe_gc)
        5    0.000    0.000    0.000    0.000 c:\miniconda\Lib\asyncio\base_events.py:747(call_later)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\json\encoder.py:183(encode)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\asyncio\futures.py:313(_set_result_unless_cancelled)
       42    0.000    0.000    0.000    0.000 c:\miniconda\Lib\enum.py:1538(_get_value)
        2    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\zmq\eventloop\zmqstream.py:686(_update_handler)
        2    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\zmq\sugar\socket.py:774(recv_multipart)
        5    0.000    0.000    0.000    0.000 c:\miniconda\Lib\asyncio\base_events.py:771(call_at)
        4    0.000    0.000    0.000    0.000 c:\miniconda\Lib\json\encoder.py:205(iterencode)
        6    0.000    0.000    0.000    0.000 c:\miniconda\Lib\enum.py:1556(__and__)
        4    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\jupyter_client\session.py:649(msg)
        1    0.000    0.000    0.000    0.000 c:\miniconda\Lib\site-packages\ipykernel\iostream.py:587(_schedule_in_thread)
       20    0.000    0.000    0.000    0.000 c:\miniconda\Lib\enum.py:720(__call__)
